question,answer_llm,answer_orig,document
Is it too late to join the course if I just found it?,"Yes, you can still join the course. If you want to receive a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still enroll after the course has already started?,"Yes, you can still join after the course has started. If you want a certificate, you need to submit your project while the course is still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, can I still get a certificate somehow?","Yes, if you join now you can still get a certificate, but only if you finish with the live cohort and submit your capstone/project while submissions are still open. You can’t get a certificate in self-paced mode.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,"To qualify for the certificate, you need to finish the course with a **live cohort** and **submit/pass the Capstone project**. If you join late, you can still catch up, but you must also **peer-review 3 peers’ capstone projects** while the course is running.

Homework is **not mandatory** for the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Does the project have to be submitted before submissions close to get the certificate?,"Yes. To get the certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do I actually need a confirmation email after registering for LLM Zoomcamp, or am I already accepted?","You’re already accepted — you do **not** need a confirmation email.

Registration is just to gauge interest, and it’s not checked against a registered list. You can also start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I start watching the LLM Zoomcamp lessons and submit homework even if I never registered?,"Yes. You can start watching the LLM Zoomcamp lessons and submit homework even if you never registered. Registration is just to gauge interest, and it’s not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Is there any check against a registered list for homework submissions in this course?,No. It is **not checked against any registered list** for homework submissions. You can start learning and submitting homework while the form is open without registering.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What is the point of registering for LLM Zoomcamp if it doesn’t affect access?,"Registration is just to gauge interest before the start date. You don’t need a confirmation email, and you can start learning and submitting homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I signed up for LLM Zoomcamp, when should I expect the acceptance or confirmation email?","You don’t need to wait for a confirmation email—you’re already accepted. You can start learning and submitting homework as soon as the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Where do students watch the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,"Students watch the live Office Hours or workshop stream on **YouTube Live**, and the video URL is posted in the **announcements channel on Telegram and Slack** before it begins. You can also watch on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
