question,document
Is it too late to join the course if I just found it?,74eb249bbf
Can I still enroll after the course has already started?,74eb249bbf
"If I join now, can I still get a certificate somehow?",74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,74eb249bbf
Does the project have to be submitted before submissions close to get the certificate?,74eb249bbf
"Do I actually need a confirmation email after registering for LLM Zoomcamp, or am I already accepted?",977bf7786c
Can I start watching the LLM Zoomcamp lessons and submit homework even if I never registered?,977bf7786c
Is there any check against a registered list for homework submissions in this course?,977bf7786c
What is the point of registering for LLM Zoomcamp if it doesn’t affect access?,977bf7786c
"If I signed up for LLM Zoomcamp, when should I expect the acceptance or confirmation email?",977bf7786c
Where do students watch the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,489dd1c9d9
How are we supposed to ask questions during live sessions like Office Hours—should I use chat or something else?,489dd1c9d9
"Is there a public video link for workshop streams, and where is it usually announced before the session starts?",489dd1c9d9
"Why can’t students get the Zoom link for live sessions, and how do we join anyway?",489dd1c9d9
What’s the best way to follow and participate in Office Hours live if I’m not an instructor or TA?,489dd1c9d9
How do I get started with the LLM Zoomcamp and what should I read first?,04919992b3
"What’s the usual weekly routine for this course, from videos to homework submission?",04919992b3
"Can I begin LLM Zoomcamp at any time, or do I have to wait for a specific start date?",04919992b3
Where do I find the deadlines and the homework instructions for each week?,04919992b3
"Is the homework basically the same as the lessons, or does it use different tasks and data?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,c2903069a0
Why does the leaderboard show a random name for me instead of my real one?,c2903069a0
Where can I check what my displayed name currently is in the course profile?,c2903069a0
Can I change the nickname shown on the leaderboard to my Slack or GitHub name?,c2903069a0
What do I need to update so my certificate shows my real legal name instead of a random alias?,c2903069a0
Can I do this course at my own pace and still get a certificate at the end?,69d122f12e
"Do you give certificates for the self-paced version of the course, or only for the live run?",69d122f12e
"If I finish all the lessons later on my own, will I still be able to receive the course certificate?",69d122f12e
Why isn’t a certificate available for people taking the course in self-paced mode?,69d122f12e
"Is peer-review required for the certificate, and can it be done after the course is over?",69d122f12e
Can I still earn the course certificate if I skipped the first homework?,9f689c185f
"Is the first homework required in order to get the certificate, or is the capstone enough?",9f689c185f
"If homework isn’t mandatory, what do I actually need to finish for the certificate?",9f689c185f
"Do homework scores matter for the certificate, or are they only for something else?",9f689c185f
What’s the main requirement to receive the certificate in this course?,9f689c185f
"Why does the homework keep changing, and how can I tell when it’s actually ready?",96286b4be4
"If I see [DRAFT] in the homework title, does that mean I shouldn’t trust the current version yet?",96286b4be4
"When is a homework assignment considered final: only when the form is open, or also when the title no longer says [DRAFT]?",96286b4be4
"Is it safe to start doing the homework before it’s officially ready, or could the tasks still change later?",96286b4be4
What does the [DRAFT] label on a homework mean in practice for students working ahead?,96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know the next run date for this course?,bd31146b0e
What’s the upcoming offering for this course?,bd31146b0e
