question,answer_agent,answer_orig,tool_calls,cost,document
Is it too late to join the course if I just found it?,"Yes — it’s not too late to join. If you just discovered the course, you can still start learning and participating.

One important note: if you want a certificate, you’ll need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""too late to join course just found it enrollment late join""}'}]",0.000993,74eb249bbf
Can I still enroll after the course has already started?,"Yes — you can usually start the course even after it has started.

For LLM Zoomcamp, registration is mainly to gauge interest, and you can start learning and submitting homework while the submission form is open. The materials are available anytime, and deadlines are listed in the course platform.

A couple of caveats:
- You can submit homework only while the form is open.
- If you want a certificate, you need to finish with the live cohort, not in self-paced mode.

If you want, I can also check whether there’s a registration deadline or what “live cohort” means for this course.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""enroll after course started late enrollment add drop registration after start""}'}]",0.00143925,74eb249bbf
"If I join now, can I still get a certificate somehow?","Yes — if you join now, you can still get a certificate, but only if you submit your project while submissions are still being accepted.

A couple of notes:
- Homework isn’t required for the certificate.
- You do need to pass the Capstone/project.
- Certificates are only for the live cohort, not self-paced mode.

If you want, I can also explain what “still accepting submissions” means in practice.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join now still get a certificate certificate eligibility late join""}'}]",0.00118725,74eb249bbf
What do I need to do to qualify for the certificate if I’m joining late?,"If you’re joining late, you can still qualify for the certificate, but you need to **submit your project while submissions are still open**.

A couple of important points:
- **Homework is not mandatory** for the certificate.
- The key requirement is to **pass the Capstone project**.
- If the course has already moved past the submission window, then you won’t be able to get a certificate.

If you want, I can also explain how late joiners handle the peer-review requirement.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join late certificate qualify late enrollment requirements certificate""}'}]",0.00125475,74eb249bbf
Does the project have to be submitted before submissions close to get the certificate?,"Yes. To get the certificate, you need to submit your project while submissions are still open. If the submission form has closed, you won’t be able to submit anymore, and that can prevent you from getting the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""project submitted before submissions close certificate deadline""}'}]",0.00097125,74eb249bbf
"Do I actually need a confirmation email after registering for LLM Zoomcamp, or am I already accepted?","You’re already accepted — you don’t need to wait for a confirmation email.

Registration is mainly to gauge interest before the start date, and it is **not** checked against a registered list. You can also start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp confirmation email after registering accepted""}'}]",0.00112425,977bf7786c
Can I start watching the LLM Zoomcamp lessons and submit homework even if I never registered?,"Yes — you can start watching the LLM Zoomcamp lessons and submit homework even if you never registered.

According to the FAQ, registration is **not required** and is **not checked against any registered list**. You can just start learning and submit homework **while the submission form is open**. Registration is mainly for gauging interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""start watching lessons submit homework without registration Zoomcamp LLM""}'}]",0.00126525,977bf7786c
Is there any check against a registered list for homework submissions in this course?,"No — homework submissions are **not checked against any registered list**. You can start learning and submit homework while the form is open, even without registering. Registration is mainly just to gauge interest before the course starts.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""registered list homework submissions check registered list submissions course""}'}]",0.00097875,977bf7786c
What is the point of registering for LLM Zoomcamp if it doesn’t affect access?,"Registering doesn’t affect access. According to the FAQ, you’re already accepted and can start learning and submitting homework while the form is open, even without registering. The registration is mainly just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""point of registering for LLM Zoomcamp doesn’t affect access registration access FAQ""}'}]",0.00108525,977bf7786c
"If I signed up for LLM Zoomcamp, when should I expect the acceptance or confirmation email?","You don’t need to wait for an acceptance email — you’re already accepted. Registration is mainly used to gauge interest before the start date, and you can start learning and submitting homework while the form is open, even if you didn’t register.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp acceptance confirmation email when should I expect email after signing up""}'}]",0.00115275,977bf7786c
Where do students watch the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,"Students watch the stream on **YouTube Live** — the Zoom link is only shared with instructors/presenters/TAs.

The video URL is typically posted in the **announcements channel on Telegram and Slack** before it starts, and you can also watch on the **DataTalksClub YouTube channel**. Questions should be submitted via **Slido** rather than in the chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Office Hours live workshop stream Zoom link not shared publicly where do students watch""}'}]",0.00132225,489dd1c9d9
How are we supposed to ask questions during live sessions like Office Hours—should I use chat or something else?,"For live sessions / Office Hours:

- **Use Slido for questions during the session** — the link is usually **pinned in the chat** when it goes live.
- **Don’t post questions in the chat** if you want them answered, because they can get missed.
- The session is typically watched via **YouTube Live**; the link is announced in **Slack/Telegram** beforehand.

If you’re asking a question outside the live session, use **Slack** and follow the course’s asking-questions guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live sessions office hours ask questions chat or something else""}'}]",0.00159825,489dd1c9d9
"Is there a public video link for workshop streams, and where is it usually announced before the session starts?","Yes — the workshop/office-hours stream video link is public for students, but the Zoom link itself is only for instructors/presenters/TAs.

Students usually watch via YouTube Live, and the video URL is announced in the announcements channel on Telegram and Slack before the session starts. It’s also available on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""public video link workshop streams announced before session starts""}'}]",0.0011925,489dd1c9d9
"Why can’t students get the Zoom link for live sessions, and how do we join anyway?","Students don’t get the Zoom link because it’s only shared with instructors, presenters, and TAs.

To join live sessions:
- Watch on the course’s **YouTube Live** stream
- Check the **announcements channel** on **Telegram/Slack** for the video link before the session starts
- Use **Slido** for questions; the link is pinned in chat when the session is live

So: **no Zoom access for students, but you can still attend live via YouTube Live and ask questions through Slido.**","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Zoom link live sessions students can\'t get link join anyway""}'}]",0.001509,489dd1c9d9
What’s the best way to follow and participate in Office Hours live if I’m not an instructor or TA?,"If you’re **not an instructor or TA**, you usually **don’t join via the Zoom link directly**. Instead:

- **Watch live on YouTube Live** when Office Hours are announced.
- **Ask questions through Slido** — the link is typically pinned in the chat during the live session.
- Keep an eye on the **announcements channel in Telegram/Slack** for the video link before it starts.
- **Don’t post questions in the live chat**, since they can be missed.

If you want more structured live support beyond the free course, there’s also an optional paid community called **AI Shipping Labs** that includes regular Zoom office hours.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""follow and participate in Office Hours live not instructor TA""}'}]",0.0016005,489dd1c9d9
How do I get started with the LLM Zoomcamp and what should I read first?,"A good way to get started is:

1. Read the **LLM Zoomcamp docs** first:  
   https://datatalks.club/docs/courses/llm-zoomcamp/

2. Also skim the **general Zoomcamp logistics docs**:  
   https://datatalks.club/docs/courses/zoomcamp-logistics/

3. Check the **LLM Zoomcamp GitHub repo**:  
   https://github.com/DataTalksClub/llm-zoomcamp

Then follow the usual workflow:

- watch the lesson videos,
- work through the lesson notebooks/code,
- read the homework instructions on GitHub,
- submit your answers on the course platform before the deadline.

If you want, I can also point you to the exact starting materials for **Module 1**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""get started LLM Zoomcamp what to read first""}'}]",0.0017085,04919992b3
